TIME_PERIOD,China (Peopleâ€™s Republic of),France,Germany,Italy,Japan,OECD Europe,Switzerland,United Kingdom,United States
2018-10-01,102.8056,98.94864,101.5778,101.7588,100.3849,100.7815,100.318,100.6982,101.5022
2018-11-01,103.2386,98.71818,101.5438,101.645,100.285,100.6595,100.3069,100.439,101.3958
2018-12-01,103.6305,98.62968,101.519,101.4642,100.1741,100.5454,100.1724,100.136,101.2298
2019-01-01,103.9405,98.97886,101.5336,101.2748,100.0272,100.518,99.97832,99.85248,101.0311
2019-02-01,104.1535,99.37622,101.548,101.0606,99.87872,100.5431,99.80544,99.72394,101.0838
2019-03-01,104.1568,99.64111,101.5537,100.8654,99.72719,100.5893,99.71317,99.71399,101.296
2019-04-01,104.1384,99.81876,101.5012,100.7306,99.60259,100.6055,99.67951,99.86852,101.4515
2019-05-01,104.0783,100.0449,101.3713,100.6137,99.42149,100.6047,99.67676,100.0994,101.537
2019-06-01,104.086,100.2385,101.189,100.5241,99.19237,100.594,99.68859,100.1807,101.4458
2019-07-01,103.9558,100.4199,101.0384,100.556,98.98115,100.5603,99.69627,100.222,101.2202
2019-08-01,103.8231,100.5167,100.9371,100.4814,98.78976,100.4757,99.68316,100.0337,100.9321
2019-09-01,103.8964,100.6231,100.9291,100.4638,98.65952,100.4357,99.6434,99.99068,100.932
2019-10-01,104.0584,100.6439,100.9365,100.4976,98.78168,100.4428,99.61147,100.0898,101.1294
2019-11-01,104.2441,100.5509,101.0363,100.5361,99.08835,100.5191,99.6229,100.3945,101.3908
2019-12-01,104.3325,100.284,101.0496,100.6788,99.26521,100.5596,99.66732,100.7354,101.6124
2020-01-01,104.0403,100.0519,100.9605,100.5799,99.0919,100.4793,99.59807,100.8571,101.6108
2020-02-01,103.3651,99.61428,100.5764,99.94195,98.34604,100.0722,99.17788,100.5057,101.1944
2020-03-01,102.8246,98.72127,99.77071,98.91774,97.0035,99.186,98.23824,99.45682,100.2236
2020-04-01,102.1382,97.88792,98.98228,98.44495,95.79552,98.20526,97.18971,97.94344,99.16765
2020-05-01,101.6444,97.9662,98.88695,98.58982,95.55615,98.02104,96.61669,97.20135,98.68124
2020-06-01,101.446,98.56956,99.28296,99.26873,95.97668,98.40593,96.98119,97.33764,98.6328
2020-07-01,101.7443,99.03076,99.68611,99.71642,96.51907,98.7817,97.85104,97.8214,98.64963
2020-08-01,102.1869,99.19705,99.97171,99.99003,96.99298,98.9578,98.68337,98.02614,98.84594
2020-09-01,102.7917,99.12444,100.0291,100.0516,97.41785,98.96914,99.10278,97.85213,99.14984
2020-10-01,103.2924,98.80775,99.86053,99.77089,97.62982,98.82847,99.21701,97.52172,99.29452
2020-11-01,103.6228,98.5641,99.63906,99.58212,97.6118,98.75352,99.19244,97.42648,99.25259
2020-12-01,103.7354,98.7538,99.49271,99.88049,97.44328,98.94886,99.13469,97.82914,99.25558
2021-01-01,103.8825,98.83266,99.39911,100.2439,97.42619,99.17748,99.10802,98.40585,99.2615
2021-02-01,103.9983,99.02706,99.56261,100.5991,97.7681,99.53003,99.17097,99.45232,99.39728
2021-03-01,103.7378,99.52993,99.87343,100.9686,98.11399,99.98801,99.38097,100.729,99.7536
2021-04-01,103.4776,100.1509,100.2056,101.5852,98.25591,100.4096,99.70914,101.7342,99.99126
2021-05-01,103.3006,100.9272,100.7404,102.4123,98.3532,100.8971,100.147,102.5018,99.93414
2021-06-01,103.0695,101.5026,101.2113,103.052,98.57491,101.2591,100.695,102.8468,99.72997
2021-07-01,102.6847,101.4909,101.3496,103.2723,98.75985,101.309,101.241,102.7925,99.2746
2021-08-01,102.58,101.2471,101.3361,103.1959,98.89591,101.1747,101.6256,102.2876,98.72091
2021-09-01,102.7791,101.1283,101.3361,103.1354,99.06987,100.9637,101.709,101.4496,98.43023
2021-10-01,102.9206,100.8568,101.1473,103.0342,99.25051,100.6035,101.5991,100.7553,98.24866
2021-11-01,103.042,100.5712,100.8348,102.7205,99.30335,100.1793,101.3938,100.4332,98.09073
2021-12-01,103.1724,100.243,100.5543,102.2291,99.13354,99.81117,101.1161,99.96386,97.99204
2022-01-01,103.0255,99.80743,100.3261,101.3421,98.74091,99.39194,100.7445,98.96776,97.76332
2022-02-01,101.9484,99.07655,99.83559,100.1347,98.2549,98.70605,100.1853,97.48579,97.46407
2022-03-01,99.5209,97.94209,99.00729,98.64719,97.78803,97.71785,99.33743,95.96999,97.23289
2022-04-01,96.36621,97.33936,98.32222,97.89874,97.54445,96.99216,98.34635,94.69151,97.07103
